Time [s], Analyzer Name, Decoded Protocol Result
0.000052625000000,RX,0xB3 (framing error)
0.000678250000000,RX,0xC8
0.001460875000000,RX,0x14
0.001981250000000,RX,0x00
0.002502562500000,RX,0x00
0.003023875000000,RX,0x00
0.003545250000000,RX,0x70
0.004066562500000,RX,0x00
0.004587937500000,RX,0x6C
0.005109250000000,RX,0x02
0.005630562500000,RX,0xB3
0.006152250000000,RX,0x00
0.006673250000000,RX,0x00
0.007194562500000,RX,0x00
0.007715875000000,RX,0x00
0.008237250000000,RX,0x34
0.008758562500000,RX,0xC2
0.009280437500000,RX,0x0E
0.009801187500000,RX,0xE3
0.134106937500000,TX,0x5A
0.134630000000000,TX,0x5A
0.135153000000000,TX,0x00
0.135676062500000,TX,0x00
0.136199187500000,TX,0x01
0.136722250000000,TX,0x01
0.138156187500000,RX,0xAA
0.138674625000000,RX,0x55
0.139195562500000,RX,0xAA
0.139717312500000,RX,0xFF
0.140239250000000,RX,0x02
0.140759562500000,RX,0xCF
0.141281437500000,RX,0x0E
0.141802250000000,RX,0x05
0.142323562500000,RX,0x0E
0.142844875000000,RX,0x06
0.143366250000000,RX,0x0D
0.143887562500000,RX,0xFD
0.144409750000000,RX,0x0E
0.144930250000000,RX,0x06
0.145451562500000,RX,0x0E
0.145972875000000,RX,0x06
0.146494187500000,RX,0x0D
0.147015562500000,RX,0x9B
0.147537250000000,RX,0x0E
0.148058187500000,RX,0x08
0.148579500000000,RX,0x0E
0.149100875000000,RX,0x06
0.149622187500000,RX,0x0E
0.150143500000000,RX,0x07
0.150664875000000,RX,0x0E
0.151186187500000,RX,0x06
0.151707500000000,RX,0x0E
0.152228875000000,RX,0x07
0.152750187500000,RX,0x0E
0.153271500000000,RX,0x06
0.153792875000000,RX,0x0E
0.154314187500000,RX,0x07
0.154835500000000,RX,0x0E
0.155356812500000,RX,0x05
0.155878187500000,RX,0x0D
0.156399500000000,RX,0xD6
0.156921375000000,RX,0x0E
0.157442187500000,RX,0x06
0.157963500000000,RX,0x0E
0.158484812500000,RX,0x08
0.159006187500000,RX,0x0E
0.159527500000000,RX,0x08
0.160048812500000,RX,0x0E
0.160570125000000,RX,0x06
0.161091500000000,RX,0x0E
0.161612812500000,RX,0x03
0.162134125000000,RX,0x00
0.162655500000000,RX,0x00
0.163176812500000,RX,0x00
0.163698125000000,RX,0x00
0.164219500000000,RX,0x00
0.164740812500000,RX,0x00
0.165262125000000,RX,0x00
0.165783500000000,RX,0x00
0.166304812500000,RX,0x00
0.166826125000000,RX,0x00
0.167347437500000,RX,0x00
0.167868812500000,RX,0x00
0.168390125000000,RX,0x00
0.168911437500000,RX,0x00
0.169432812500000,RX,0x00
0.169954125000000,RX,0x00
0.170475437500000,RX,0x00
0.170996750000000,RX,0x00
0.171518125000000,RX,0x00
0.172039437500000,RX,0x00
0.172560750000000,RX,0x00
0.173082125000000,RX,0x00
0.173603437500000,RX,0x00
0.174124750000000,RX,0x00
0.174646125000000,RX,0x00
0.175167437500000,RX,0x00
0.175688750000000,RX,0x00
0.176210125000000,RX,0x00
0.176731437500000,RX,0x22
0.177252750000000,RX,0x01
0.177774062500000,RX,0xAB
0.178295750000000,RX,0x3F
0.178816750000000,RX,0x00
0.179338062500000,RX,0x00
0.179859375000000,RX,0x8D
0.180381062500000,RX,0x7B
0.180902062500000,RX,0xAC
0.181423750000000,RX,0x00
0.181944750000000,RX,0x02
0.182466062500000,RX,0xBB
0.182987750000000,RX,0x30
0.183508750000000,RX,0x00
0.184030062500000,RX,0x08
0.184551375000000,RX,0x02
0.185072750000000,RX,0x6E
0.185594062500000,RX,0x00
0.186115375000000,RX,0x19
0.186636687500000,RX,0x00
0.187158062500000,RX,0x19
0.187679375000000,RX,0x00
0.188200687500000,RX,0x19
0.188722000000000,RX,0x00
0.189243375000000,RX,0x19
0.189764687500000,RX,0x00
0.190286062500000,RX,0x19
0.190807375000000,RX,0x00
0.191328687500000,RX,0x19
0.191850000000000,RX,0x01
0.192371375000000,RX,0x01
0.192892687500000,RX,0x00
