Time [s],Value,Parity Error,Framing Error
0.667071500000000,0x03,,Error
0.683687500000000,0xFE,,
2.908119125000000,0xFF,,
2.910119250000000,0xFF,,
2.912119500000000,0xFF,,
2.914120000000000,0xFF,,
2.916120500000000,0xFF,,
2.918120500000000,0xFF,,
2.920120875000000,0xFF,,
2.922121375000000,0xFF,,
2.924121375000000,0xFF,,
2.926121750000000,0xFF,,
2.928121875000000,0xFF,,
2.930122750000000,0xFF,,
2.932122875000000,0xFF,,
2.934123125000000,0xFF,,
2.936123250000000,0xFF,,
2.938124125000000,0xFF,,
2.940124125000000,0xFF,,
2.942124375000000,0xFF,,
2.944124750000000,0xFF,,
2.946125500000000,0xFF,,
2.948125625000000,0xFF,,
2.950125875000000,0xFF,,
2.952126125000000,0xFF,,
2.954126750000000,0xFF,,
2.958133500000000,0xFF,,
2.962134625000000,0xFF,,
2.966135500000000,0xFF,,
2.970136875000000,0xFF,,
2.974138000000000,0xFF,,
2.976138750000000,0xFF,,
2.978139625000000,0xFF,,
2.980140125000000,0xFF,,
2.984141500000000,0xFF,,
2.988143250000000,0xFF,,
2.992144625000000,0xFF,,
2.996146500000000,0xFF,,
2.998147375000000,0xFF,,
3.000148250000000,0xFF,,
3.002149500000000,0xFF,,
3.006151125000000,0xFF,,
3.008152125000000,0xFF,,
3.010153375000000,0xFF,,
3.012154375000000,0xFF,,
3.014155250000000,0xFF,,
3.016156250000000,0xFF,,
3.018157625000000,0xFF,,
3.020158750000000,0xFF,,
3.022159625000000,0xFF,,
3.024160750000000,0xFF,,
3.026162375000000,0xFF,,
3.028163625000000,0xFF,,
3.030164625000000,0xFF,,
3.032166000000000,0xFF,,
3.034167750000000,0xFF,,
3.036169125000000,0xFF,,
3.038170625000000,0xFF,,
3.040172375000000,0xFF,,
3.042174250000000,0xFF,,
3.044170500000000,0xFF,,
3.046166125000000,0xFF,,
3.048167250000000,0xFF,,
3.050169500000000,0xFF,,
3.052171875000000,0xFF,,
3.054174500000000,0xFF,,
3.056178000000000,0xFF,,
3.257670875000000,0xAA,,
3.258188000000000,0x55,,
3.258709000000000,0xAA,,
3.259230625000000,0xFF,,
3.259752625000000,0x02,,
3.260273000000000,0xCF,,
3.260794750000000,0x0E,,
3.261315625000000,0x04,,
3.261836875000000,0x0E,,
3.262358250000000,0x05,,
3.262879625000000,0x0D,,
3.263400875000000,0xFB,,
3.263923125000000,0x0E,,
3.264443625000000,0x04,,
3.264964875000000,0x0E,,
3.265486250000000,0x05,,
3.266007625000000,0x0D,,
3.266528875000000,0x99,,
3.267050625000000,0x0E,,
3.267571625000000,0x06,,
3.268092875000000,0x0E,,
3.268614250000000,0x04,,
3.269135625000000,0x0E,,
3.269656875000000,0x06,,
3.270178250000000,0x0E,,
3.270699500000000,0x04,,
3.271220875000000,0x0E,,
3.271742250000000,0x06,,
3.272263500000000,0x0E,,
3.272784875000000,0x05,,
3.273306250000000,0x0E,,
3.273827500000000,0x06,,
3.274348875000000,0x0E,,
3.274870250000000,0x04,,
3.275391500000000,0x0D,,
3.275912875000000,0xD7,,
3.276434750000000,0x0E,,
3.276955500000000,0x04,,
3.277476875000000,0x0E,,
3.277998250000000,0x06,,
3.278519500000000,0x0E,,
3.279040875000000,0x06,,
3.279562250000000,0x0E,,
3.280083500000000,0x04,,
3.280604875000000,0x0E,,
3.281126125000000,0x01,,
3.281647500000000,0x00,,
3.282168875000000,0x00,,
3.282690125000000,0x00,,
3.283211500000000,0x00,,
3.283732875000000,0x00,,
3.284254125000000,0x00,,
3.284775500000000,0x00,,
3.285296875000000,0x00,,
3.285818125000000,0x00,,
3.286339500000000,0x00,,
3.286860875000000,0x00,,
3.287382125000000,0x00,,
3.287903500000000,0x00,,
3.288424875000000,0x00,,
3.288946125000000,0x00,,
3.289467500000000,0x00,,
3.289988875000000,0x00,,
3.290510125000000,0x00,,
3.291031500000000,0x00,,
3.291552875000000,0x00,,
3.292074125000000,0x00,,
3.292595500000000,0x00,,
3.293116750000000,0x00,,
3.293638125000000,0x00,,
3.294159500000000,0x00,,
3.294680750000000,0x00,,
3.295202125000000,0x00,,
3.295723500000000,0x00,,
3.296244750000000,0x22,,
3.296766125000000,0x01,,
3.297287500000000,0xAB,,
3.297809125000000,0x3F,,
3.298330125000000,0x00,,
3.298851500000000,0x00,,
3.299372750000000,0x8D,,
3.299894500000000,0x7E,,
3.300415375000000,0xC3,,
3.300937375000000,0x00,,
3.301458125000000,0x02,,
3.301979375000000,0xBB,,
3.302501125000000,0x2B,,
3.303022125000000,0x00,,
3.303543375000000,0x07,,
3.304064750000000,0xFB,,
3.304586875000000,0x1E,,
3.305107375000000,0x00,,
3.305628750000000,0x1B,,
3.306150125000000,0x00,,
3.306671375000000,0x1B,,
3.307192750000000,0x00,,
3.307714125000000,0x1A,,
3.308235375000000,0x00,,
3.308756750000000,0x1A,,
3.309278125000000,0x00,,
3.309799375000000,0x1B,,
3.310320750000000,0x00,,
3.310842125000000,0x1B,,
3.311363375000000,0x01,,
